"","Length","Class","Mode"
"a0"," 100","-none-","numeric"
"beta","7400","dgCMatrix","S4"
"df"," 100","-none-","numeric"
"dim","   2","-none-","numeric"
"lambda"," 100","-none-","numeric"
"dev.ratio"," 100","-none-","numeric"
"nulldev","   1","-none-","numeric"
"npasses","   1","-none-","numeric"
"jerr","   1","-none-","numeric"
"offset","   1","-none-","logical"
"call","   4","-none-","call"
"nobs","   1","-none-","numeric"
