"","Length","Class","Mode"
"a0","  74","-none-","numeric"
"beta","5476","dgCMatrix","S4"
"df","  74","-none-","numeric"
"dim","   2","-none-","numeric"
"lambda","  74","-none-","numeric"
"dev.ratio","  74","-none-","numeric"
"nulldev","   1","-none-","numeric"
"npasses","   1","-none-","numeric"
"jerr","   1","-none-","numeric"
"offset","   1","-none-","logical"
"call","   4","-none-","call"
"nobs","   1","-none-","numeric"
